2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
638,,DB/BR,C,3/23/2021,World of Trouble,Little Brave,Indian Charlie,LittleBrave,"Silvestre Chavez Thoroughbreds, Agent XVII",NY,17,out,142,19-Apr,Withdrawn,Out,,out,4/25/2023,Chavez Thoroughbreds Silvestre 
639,,B,F,4/4/2021,Audible,Little Sandy,Speightstown,LittleSandy,"Gene Recio, Agent III",KY,17,10.1,115,19-Apr,Brooke Hubbard Agent for Todd Moore,"75,000",,,,Recio Gene
640,,B,C,5/4/2021,Audible,Live to Dance,Emcee,LivetoDance,"Hartley / DeRenzo Thoroughbreds LLC, Agent",KY,5,out,33,19-Apr,Withdrawn,Out,,out,4/26/2023,Hartley / DeRenzo Thoroughbreds LLC
641,,CH,C,5/6/2021,Bucchero,Living Light,Halo's Image,LivingLight,"Omar Ramirez Bloodstock, Agent XXVIII",FL,15,10.1,69,19-Apr,M M Racing,"25,000",PS,,,Ramirez Omar
642,,DB/BR,C,2/6/2021,Tonalist,Lizzy's Fun,D' Funnybone,LizzysFun,"Grassroots Training & Sales LLC, Agent",NY,J,11.0,121,19-Apr,C.H.P.R.,"20,000",,,,Grassroots Training & Sales LLC
643,,B,F,1/18/2021,Sharp Azteca,Look Into My Eyes,City Zip,LookIntoMyEyes,"Mayberry Farm, Agent IX",KY,B,10.0,117,19-Apr,"Twin Sports Racing LLC, Oracle Bloodstock, Agent","75,000",,,,Mayberry Farm
644,,DB/BR,C,4/7/2021,Alliance,Lost Reward,Warrior's Reward,LostReward,"Pick View LLC, Agent XVIII",MD,G,22.3,119,19-Apr,Luis D Pagan Rivera,"7,000",,,,Pick View LLC
645,,GR/RO,C,2/21/2021,Catalina Cruiser,Love Co,Not For Love,LoveCo,"L. G., Agent I",KY,G,10.1,134,19-Apr,Robert Cotran,"100,000",PS,,,"L. G., Agent"
646,,B,F,3/5/2021,Honor Code,Love for Scarlett,Not For Love,LoveforScarlett,"Off the Hook LLC, Agent XIX",KY,13,10.3,92,19-Apr,Jose A Llavona,"30,000",,,,Off the Hook LLC
647,,B,F,2/16/2021,Honor Code,Love Hurts,Tiznow,LoveHurts,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XI",KY,5,10.1,105,19-Apr,Thomsen Racing LLC,"18,000",,,,"Wavertree Stables, Inc."
648,,B,F,2/4/2021,Copper Bullet,Lovely Em,Scat Daddy,LovelyEm,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,out,,19-Apr,Withdrawn,Out,,out,4/19/2023,"Wavertree Stables, Inc."
649,,B,C,4/22/2021,Audible,Lovely Rate,Exchange Rate,LovelyRate,"Pick View LLC, Agent VII",KY,G,21.2,50,19-Apr,"240,000",Not Sold,,,,Pick View LLC
650,Here's the Kicker,GR/RO,F,3/7/2021,Liam's Map,Lovesick,Adios Charlie,Lovesick,"Eddie Woods, Agent XXIX",KY,11,10.1,3,19-Apr,MyRacehorse & Mathis Stable LLC,"375,000",,,,Woods Eddie
651,,B,F,3/19/2021,Copper Bullet,Love to Score,Even the Score,LovetoScore,"Ordonez Thoroughbreds, Agent VI",KY,20,out,27,19-Apr,Withdrawn,Out,,out,4/27/2023,Ordonez Thoroughbreds
652,,CH,F,3/6/2021,Redesdale,Loving Lorri,Tale of the Cat,LovingLorri,"Woodside Ranch, Agent I",NY,6,10.2,126,19-Apr,"West Bloodstock, Agent for Repole Stable, Inc.","65,000",,,,Woodside Ranch
653,,B,F,4/22/2021,Audible,Luckyallmylife,Lookin At Lucky,Luckyallmylife,"Pick View LLC, Agent XVI",KY,G,out,149,19-Apr,Withdrawn,Out,,out,4/27/2023,Pick View LLC
654,,B,C,4/21/2021,More Than Ready,Lucky Draw,Lookin At Lucky,LuckyDraw,"Top Line Sales LLC, Agent VII",PA,14,out,,19-Apr,Withdrawn,Out,,out,4/14/2023,Top Line Sales
655,Autumn Evening,B,F,3/20/2021,Malibu Moon,Lucky Long,Lookin At Lucky,LuckyLong,"Off the Hook LLC, Agent XVIII",KY,13,10.1,8,19-Apr,P & G Stables LLC,"135,000",,,,Off the Hook LLC
656,,B,F,1/25/2021,English Channel,Lure of the Sea (IRE),Sea The Stars (IRE),LureoftheSeaIRE,"Ordonez Thoroughbreds, Agent III",NY,20,10.4,138,19-Apr,"37,000",Not Sold,,,,Ordonez Thoroughbreds
657,,CH,C,4/25/2021,Mitole,Lusaka,Distorted Humor,Lusaka,"de Meric Sales, Agent X",KY,12,10.0,62,19-Apr,"85,000",Not Sold,,,,de Meric Sales
658,,B,F,3/13/2021,Maximus Mischief,Madre Ditutticapi,Street Boss,MadreDitutticapi,"Blue River Bloodstock, Inc., Agent II",FL,19,10.0,18,19-Apr,Solaris Farm,"45,000",PS,,,Blue River Bloodstock
659,Invincible,DB/BR,C,3/1/2021,Uncle Mo,Magical Mood (GB),Forestry,MagicalMoodGB,"L. G., Agent I",KY,G,10.0,31,19-Apr,"Hoby Kight, Agent","225,000",,,,"L. G., Agent"
660,,B,F,4/28/2021,Munnings,Magnettes,Mineshaft,Magnettes,"Cary Frommer LLC, Agent III",KY,10,10.2,113,19-Apr,"47,000",Not Sold,,,,Frommer Cary
661,,B,C,3/30/2021,Mendelssohn,Magnificent Margo,Congrats,MagnificentMargo,"Paul Sharp, Agent II",NY,C,10.2,38,19-Apr,"47,000",Not Sold,,,,Sharp Paul M.
662,,DB/BR,F,4/19/2021,Liam's Map,Magnolias in Bloom,Flatter,MagnoliasinBloom,Ocala Stud,KY,4,20.4,70,19-Apr,Mansfield Racing,"440,000",,,,Ocala Stud
663,,DB/BR,C,4/14/2021,Outwork,Mahna,Candy Ride (ARG),Mahna,Grassroots Training & Sales LLC,KY,J,10.0,51,19-Apr,Badan Alsubaie,"65,000",,,,Grassroots Training & Sales LLC
664,,CH,F,3/28/2021,Dialed In,Main Asset,Giant's Causeway,MainAsset,"Rivera Training and Sales, Agent I",KY,6,21.3,60,19-Apr,"Olympia Stables, Agent for Pirate Racing","30,000",,,,Rivera Training and Sales
665,,B,F,4/27/2021,Flatter,Majestically,Gone West,Majestically,"Eddie Woods, Agent XXV",KY,11,10.1,85,19-Apr,TCK USA,"90,000",,,,Woods Eddie
666,,,,1/1/2021,,,,,,,,out,,19-Apr,Withdrawn,Out,,out,3/12/2023,
667,,CH,F,4/20/2021,Omaha Beach,Malibu Pride,Malibu Moon,MalibuMoon,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,9.4,67,19-Apr,Riley Mott Racing Stable,"200,000",,,,"Wavertree Stables, Inc."
668,,B,F,3/29/2021,Vino Rosso,Malibu Royalty,Malibu Moon,MalibuMoon,"Julie Davies LLC, Agent VI",KY,19,10.1,104,19-Apr,C.H.P.R.,"25,000",PS,,,Davies Julie
669,,B,F,3/10/2021,Girvin,Mandolin,Midnight Lute,MidnightLute,"Boutte Sales, Agent III",FL,3,21.3,76,19-Apr,Michael V. Pino for Smart Angle LLP,"52,000",PS,,,Boutte Sales
670,,GR/RO,F,2/12/2021,Frosted,Mandolin Lullaby,Midnight Lute,MidnightLute,"S B M Training and Sales, Agent XI",KY,3,10.1,137,19-Apr,"95,000",Not Sold,,,,S B M Training and Sales
671,,B,F,2/26/2021,The Big Beast,Marathon Lady,Graeme Hall,GraemeHall,"Silvestre Chavez Thoroughbreds, Agent III",FL,17,20.4,24,19-Apr,"Mike Pender, Agent for Wendy Ouriel","40,000",,,,Chavez Thoroughbreds Silvestre 
672,Factorbella,GR/RO,F,4/12/2021,The Factor,Mariglianella,Stephanotis,Stephanotis,"Mayberry Farm, Agent III",KY,B,10.1,72,19-Apr,Happy Tenth Stable,"60,000",,,,Mayberry Farm
673,,B,C,4/3/2021,World of Trouble,Marine Layer,Into Mischief,IntoMischief,"Omar Ramirez Bloodstock, Agent X",LA,15,10.1,36,19-Apr,Golden Rock Thoroughbreds,"35,000",PS,,,Ramirez Omar
674,,DB/BR,F,1/7/2021,Dialed In,Mary Grace,Wildcat Heir,WildcatHeir,"Grassroots Training & Sales LLC, Agent",NY,J,10.0,11,19-Apr,"K.O.I.D. Co., Ltd.","35,000",,,,Grassroots Training & Sales LLC
675,,GR/RO,C,1/27/2021,Constitution,Mayan Milagra,Menifee,Menifee,GOP Racing Stable Corp.,KY,16,10.1,22,19-Apr,TMC,"160,000",,,,GOP Racing Stable Corp.
676,,CH,C,3/2/2021,Liam's Map,Mayfair Lady,Colonel John,ColonelJohn,"Eisaman Equine, Agent",KY,7,out,,19-Apr,Withdrawn,Out,,out,4/19/2023,Eisaman Equine
677,,DB/BR,C,2/15/2021,Connect,McSpice,Pulpit,Pulpit,"Two Oaks Equine, Agent II",FL,E,10.2,61,19-Apr,"Jeffrey Bloom, Agent for Najeeb B Alnasser","42,000",,,,Two Oaks Equine
678,,CH,F,2/20/2021,Collected,Meadowlee,Meadowlake,Meadowlake,"Omar Ramirez Bloodstock, Agent XLIX",OH,15,10.2,90,19-Apr,Charlie J. Williams LLC,"30,000",,,,Ramirez Omar
679,,CH,C,2/8/2021,Mendelssohn,Meg Fitz,Tapit,Tapit,"Eddie Woods, Agent XI",KY,11,out,,19-Apr,Withdrawn,Out,,out,4/19/2023,Woods Eddie
680,,DB/BR,F,5/1/2021,Oscar Performance,Memories for Us,Street Cry (IRE),StreetCryIRE,Grassroots Training & Sales LLC,KY,J,10.0,77,19-Apr,"K.O.I.D. Co., Ltd.","40,000",PS,,,Grassroots Training & Sales LLC
681,,DB/BR,C,5/29/2021,Uncle Mo,Meta Mu,Street Sense,StreetSense,"Golden Rock Thoroughbreds, Agent",KY,D,out,,19-Apr,Withdrawn,Out,,out,4/13/2023,Golden Rock Thoroughbreds
682,,B,C,4/26/2021,Uncle Mo,Mezinka,Bodemeister,Bodemeister,"Gene Recio, Agent III",KY,17,10.1,13,19-Apr,Benjamin Gase,"675,000",,,,Recio Gene
683,,B,C,3/29/2021,City of Light,Mia d'Oro,Medaglia d'Oro,MedagliadOro,"Niall Brennan Stables, Agent I",KY,8,10.2,123,19-Apr,"Oracle Bloodstock, Agt Shik Abdullah Salam Humod A","75,000",PS,,,Brennan Niall
684,,DB/BR,C,5/10/2021,Lord Nelson,Midnight On Oconee,Midnight Lute,MidnightLute,"S B M Training and Sales, Agent VIII",KY,3,10.0,103,19-Apr,"60,000",Not Sold,,,,S B M Training and Sales
685,,B,C,3/2/2021,Flatter,Midnight Sweetie,Midnight Lute,MidnightLute,"Bobby Dodd, Agent I",FL,10,out,,19-Apr,Withdrawn,Out,,out,4/19/2023,Dodd Bobby
686,,B,C,3/21/2021,Candy Ride (ARG),Mighty Eros,Freud,Freud,"Pick View LLC, Agent XX",KY,G,10.1,9,19-Apr,Spendthrift Farm / West Point Thoroughbreds,"485,000",,,,Pick View LLC
687,,GR/RO,F,4/20/2021,Karakontie (JPN),Milk Run,Running Stag,RunningStag,"Flying Fish, Agent II",FL,15,10.1,110,19-Apr,Barry Arnason,"35,000",PS,,,Flying Fish
688,,GR/RO,F,2/23/2021,Liam's Map,Mims Eppi,Cactus Ridge,CactusRidge,"Top Line Sales LLC, Agent XLIX",KY,14,10.0,1,19-Apr,"Legion Bloodstock, Agent","130,000",,,,Top Line Sales
689,,B,C,5/5/2021,Include,Mini Channel,English Channel,EnglishChannel,"Top Line Sales LLC, Agent VI",KY,14,10.2,133,19-Apr,"Jeffrey Bloom, Agent for Nwadr Stables","47,000",,,,Top Line Sales
690,,CH,C,2/21/2021,Sky Mesa,Minister's Baby,Deputy Minister,DeputyMinister,"Silvestre Chavez Thoroughbreds, Agent",KY,17,10.2,102,19-Apr,S.R.O.A. (KOID),"37,000",,,,Chavez Thoroughbreds Silvestre 
691,,DB/BR,F,3/4/2021,Omaha Beach,Miss Behaviour,Jump Start,JumpStart,"GOP Racing Stable Corp., Agent VI",KY,16,10.0,87,19-Apr,"57,000",Not Sold,,,,GOP Racing Stable Corp.
692,,CH,C,4/22/2021,Solomini,Miss Bonnie,Officer,Officer,"Randy Miles, Agent I",NY,18,9.4,12,19-Apr,"Big Dom Racing / Big Toe Racing, Agent J. Taisey","290,000",,,,Miles Randy
693,,B,F,5/3/2021,Malibu Moon,Miss Derek,Brother Derek,BrotherDerek,"Wildheart Thoroughbreds LLC, Agent I",KY,16,10.0,58,19-Apr,John Rogitz,"190,000",,,,Wildheart Thoroughbreds LLC
694,,DB/BR,C,5/11/2021,Medaglia d'Oro,Miss Ella,Exchange Rate,ExchangeRate,"McKee Bloodstock LLC, Agent",KY,10,10.3,53,19-Apr,"150,000",Not Sold,,,,McKee Bloodstock LLC
695,Motet,B,F,4/12/2021,Mo Town,Miss Holiday Inn,Tactical Cat,TacticalCat,"Grassroots Training & Sales LLC, Agent II",KY,J,10.2,112,19-Apr,Gary Folgner,"20,000",,,,Grassroots Training & Sales LLC
696,,DB/BR,F,5/12/2021,Runhappy,Miss Mary Pat,Service Stripe,ServiceStripe,"Envision Equine, Agent",KY,5,10.0,89,19-Apr,Joe Davis,"125,000",,,,Envision Equine
697,,B,F,3/21/2021,Twirling Candy,Miss Matzoball,Smoke Glacken,SmokeGlacken,"Lucan Bloodstock (Karl Keegan), Agent",LA,18,out,,19-Apr,Withdrawn,Out,,out,4/19/2023,Lucan Bloodstock
698,,DB/BR,F,5/19/2021,Sharp Azteca,Miss Subtle,Misremembered,Misremembered,"McKathan Bros. Sales, Agent",KY,6,out,96,19-Apr,Withdrawn,Out,,out,4/27/2023,McKathan Bros.
699,,CH,F,3/14/2021,Audible,Miss Unbridled Cat,Broken Vow,BrokenVow,Navas Equine,KY,13,10.3,52,19-Apr,"32,000",Not Sold,,,,Navas Equine
700,,B,C,4/10/2021,Girvin,Miss Unique,Midnight Lute,MidnightLute,Golden Thoroughbreds Training and Sales,FL,E,10.0,106,19-Apr,"45,000",Not Sold,,,,Golden Thoroughbreds Training and Sales
701,,DB/BR,C,2/6/2021,Midnight Storm,Mis Vizcaya,Successful Appeal,SuccessfulAppeal,Goldencents Thoroughbreds,KY,E,10.0,115,20-Apr,"Jeffrey Bloom, Agent for Ahmed Alshaia","50,000",PS,,,Goldencents Thoroughbreds
702,,CH,C,4/22/2021,Khozan,Mitasunke,Closing Argument,ClosingArgument,"Marcial Galan, Agent I",FL,D,10.0,121,20-Apr,Badan Alsubaie,"32,000",,,,Galan Marcial
703,,B,F,2/23/2021,Flameaway,Mizzen Donald,Mizzen Mast,MizzenMast,"Eddie Woods, Agent LV",KY,11,10.1,133,20-Apr,"Cherie De Vaux, Agent","185,000",,,,Woods Eddie
704,Noble Rank,GR/RO,F,4/24/2021,Leofric,Mochima,Wildcat Heir,WildcatHeir,"Thorostock LLC, Agent",NY,H,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Thorostock LLC
705,Mo Go,B,C,2/11/2021,Medaglia d'Oro,Mo' Green,Uncle Mo,UncleMo,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",KY,5,10.0,19,20-Apr,"625,000",Not Sold,,,,Hartley / DeRenzo Thoroughbreds LLC
706,,B,C,4/7/2021,Maximus Mischief,Moments Past,Came Home,CameHome,"Envision Equine, Agent",KY,5,10.1,44,20-Apr,Gary Folgner,"35,000",,,,Envision Equine
707,,DB/BR,C,2/10/2021,Omaha Beach,Mominou,Congrats,Congrats,"Cesar Loya Training & Sales, Agent V",LA,20,out,,20-Apr,Withdrawn,Out,,out,2/21/2023,Loya Training & Sales Cesar 
708,,B,C,3/22/2021,Audible,Mom's Deputy,War Chant,WarChant,"de Meric Sales, Agent XXIII",FL,12,10.1,127,20-Apr,First Finds,"185,000",,,,de Meric Sales
709,,CH,C,3/5/2021,Vino Rosso,Money Madness,Rahy,Rahy,"Top Line Sales LLC, Agent VII",KY,14,10.2,88,20-Apr,"70,000",Not Sold,,,,Top Line Sales
710,,DB/BR,F,4/3/2021,Enticed,Mooji's Empire,Empire Maker,EmpireMaker,New Horizons Bloodstock LLC,FL,18,9.4,58,20-Apr,"Emerald Sales, Agent for Mike Eiserman","120,000",,,,New Horizons Bloodstock LLC
711,,DB/BR,C,3/16/2021,World of Trouble,Moolah Schmoolah,Union Rags,UnionRags,Grassroots Training & Sales LLC,NY,J,10.3,142,20-Apr,S.R.O.A. (KOID),"15,000",,,,Grassroots Training & Sales LLC
712,,B,F,2/25/2021,Vino Rosso,Moon Beamy,Malibu Moon,MalibuMoon,"Top Line Sales LLC, Agent XXXVI",KY,14,10.1,2,20-Apr,Carl Fiebig,"50,000",PS,,,Top Line Sales
713,,DB/BR,F,1/23/2021,Nyquist,Moonlit Cove,Giant's Causeway,GiantsCauseway,"Omar Ramirez Bloodstock, Agent XI",KY,15,10.1,98,20-Apr,"27,000",Not Sold,,,2/27/2023,Ramirez Omar
714,,B,F,3/9/2021,Mastery,Moon of the Nile,Malibu Moon,MalibuMoon,"Global Thoroughbreds LLC, Agent",FL,10,21.2,104,20-Apr,"42,000",Not Sold,,,,Global Thoroughbreds LLC
715,,B,C,5/15/2021,Into Mischief,Morakami,Fusaichi Pegasus,FusaichiPegasus,"Mayberry Farm, Agent VIII",KY,B,out,29,20-Apr,Withdrawn,Out,,out,4/27/2023,Mayberry Farm
716,,CH,C,3/19/2021,Street Boss,More Hoping,North Light (IRE),NorthLightIRE,"Randy Miles, Agent V",KY,18,10.0,70,20-Apr,"Mike Ryan, Agent for Peter Redekop BC Ltd.","170,000",,,,Miles Randy
717,,DB/BR,F,5/9/2021,West Coast,More Respect,More Than Ready,MoreThanReady,"Eddie Woods, Agent XXXIV",KY,11,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Woods Eddie
718,,DB/BR,F,5/17/2021,Not This Time,More Than Magic,More Than Ready,MoreThanReady,"Hidden Brook, Agent IV",KY,9,10.1,117,20-Apr,"Edge Racing & Jeffrey Bloom, Agt for Nwadr Stables","210,000",,,,Hidden Brook Farm
719,,B,F,4/6/2021,Race Day,Morning Memo,Morning Line,MorningLine,"Randy Miles, Agent I",KY,18,9.4,54,20-Apr,Mark Glatt Agt for California Racing Partners,"150,000",,,,Miles Randy
720,,GR/RO,C,1/25/2021,Not This Time,Mrs. Bucket,Cross Traffic,CrossTraffic,"Randy Miles, Agent II",KY,18,10.0,7,20-Apr,Abdulrahman Alsayed,"150,000",,,,Miles Randy
721,,B,C,3/19/2021,Laoban,Ms Gretchs Destiny,Dance to Destiny,DancetoDestiny,"Mayberry Farm, Agent",NY,B,10.0,140,20-Apr,"Gary Contessa, Agent","60,000",,,,Mayberry Farm
722,,B,C,1/9/2021,Uncle Mo,Multi Strategy,Scat Daddy,ScatDaddy,"Top Line Sales LLC, Agent XXVI",LA,14,10.1,73,20-Apr,"Cherie De Vaux, Agent","400,000",,,,Top Line Sales
723,,DB/BR,F,3/3/2021,American Pharoah,Munchkin Money,Freud,Freud,"Randy Bradshaw, Agent II",KY,10,10.1,35,20-Apr,"85,000",Not Sold,,,,Bradshaw Randy
724,Little Carley,B,F,4/19/2021,Bucchero,Musical Touch,Touch Gold,TouchGold,"Wildheart Thoroughbreds LLC, Agent IV",FL,16,out,86,20-Apr,Withdrawn,Out,,out,4/23/2023,Wildheart Thoroughbreds LLC
725,,CH,F,2/27/2021,Kantharos,Mybigitalianfriend,Union Rags,UnionRags,"Golden Rock Thoroughbreds, Agent VIII",LA,D,10.1,122,20-Apr,"27,000",Not Sold,,,,Golden Rock Thoroughbreds
726,,B,C,4/17/2021,Justify,My Fast One,Elusive Quality,ElusiveQuality,"Hartley / DeRenzo Thoroughbreds LLC, Agent",KY,5,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Hartley / DeRenzo Thoroughbreds LLC
727,,DB/BR,F,3/26/2021,Hard Spun,My Life,Quality Road,QualityRoad,Kinsman Farm,KY,8,10.1,50,20-Apr,"Oracle Bloodstock, Agent","210,000",,,,Kinsman Farm
728,,B,F,2/27/2021,Maximus Mischief,My Rolex,Proud Accolade,ProudAccolade,"Randy Miles, Agent",FL,18,9.4,112,20-Apr,Case Chambers,"55,000",,,,Miles Randy
729,,DB/BR,C,3/15/2021,Classic Empire,My Saving Grace,Super Saver,SuperSaver,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,"Wavertree Stables, Inc."
730,,CH,F,3/17/2021,Collected,My Sister Caro,Bop,Bop,"Rolling Meadows Farm, Inc.",FL,D,33.4,69,20-Apr,"15,000",Not Sold,,,2/21/2023,"Rolling Meadows Farm, Inc."
731,,B,F,4/7/2021,No Nay Never,My Sister Sandy,Montbrook,Montbrook,"Top Line Sales LLC, Agent XVII",IR,14,10.1,20,20-Apr,"Legion Bloodstock, Agent","125,000",,,,Top Line Sales
732,,DB/BR,C,4/3/2021,Enticed,Mystic Mama,Scat Daddy,ScatDaddy,"White Lilac (Katie Miranda), Agent VII",KY,17,out,138,20-Apr,Withdrawn,Out,,out,4/21/2023,White Lilac (Katie Miranda)
733,,B,C,4/1/2021,Lord Nelson,My Super Nova,Super Saver,SuperSaver,"Halcyon Hammock Farm, Agent II",FL,2,out,143,20-Apr,Withdrawn,Out,,out,4/27/2023,Halcyon Hammock Farm
734,,GR/RO,C,5/30/2021,Tapit,My Tina,Bertrando,Bertrando,"Julie Davies LLC, Agent XIX",KY,19,out,14,20-Apr,Withdrawn,Out,,out,4/27/2023,Davies Julie
735,,B,F,4/10/2021,Flameaway,My Wish List,Flatter,Flatter,"Tradewinds Farm, Agent IV",KY,1,out,79,20-Apr,Withdrawn,Out,,out,4/27/2023,Tradewinds Farm
736,,DB/BR,F,2/28/2021,West Coast,Napier,Midnight Lute,MidnightLute,"Sequel Bloodstock, Agent I",NY,9,21.2,59,20-Apr,"Thorostock, Agent for Winning Move Stable","140,000",PS,,,Sequel Bloodstock
737,,GR/RO,F,5/8/2021,Liam's Map,Native One,Indian Charlie,IndianCharlie,"Cortez Racing & Sales, Agent I",KY,20,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Cortez Racing & Sales
738,,GR/RO,F,3/30/2021,Frosted,Naughty Holiday,Harlan's Holiday,HarlansHoliday,"Shamrock Stables LLC, Agent",ON,15,out,,20-Apr,Withdrawn,Out,,out,4/6/2023,Shamrock Stables LLC
739,,CH,F,3/26/2021,Speightster,Nesselrode,Lemon Drop Kid,LemonDropKid,GOP Racing Stable Corp.,NY,16,10.1,45,20-Apr,Clear Stars Stable & Mitre Box Stable,"50,000",,,,GOP Racing Stable Corp.
740,Diego Diego Diego,B,C,2/21/2021,Sharp Azteca,Nesso,Roman Ruler,RomanRuler,"Coastal Equine LLC (Jesse Hoppel), Agent XIX",FL,A,10.0,64,20-Apr,"65,000",Not Sold,,,,Coastal Equine LLC
741,,B,C,2/19/2021,Hard Spun,Night Witch,Indian Charlie,IndianCharlie,"RiceHorse Stable (Brandon & Ali Rice), Agent IX",KY,6,out,37,20-Apr,Withdrawn,Out,,out,4/27/2023,RiceHorse
742,,CH,C,5/1/2021,Vino Rosso,Nite in Rome,Harlan's Holiday,HarlansHoliday,"Tom McCrocklin, Agent XXIII",KY,2,21.1,101,20-Apr,FMQ Stables,"475,000",,,,McCrocklin Tom
743,,DB/BR,F,2/14/2021,Classic Empire,No Better Terms,Pure Prize,PurePrize,"Envision Equine, Agent II",KY,5,10.1,126,20-Apr,Ervin Rodriguez,"55,000",,,,Envision Equine
744,,B,F,1/28/2021,Catalina Cruiser,Noblame,Blame,Blame,"James Layden, Agent II",KY,9,10.0,24,20-Apr,"Joe Sharp, Agt for Erich Brehm JR","40,000",PS,,,Layden James R. 
745,,DB/BR,C,5/8/2021,Palace Malice,Noble Ready,More Than Ready,MoreThanReady,"Randy Bradshaw, Agent II",KY,10,10.1,136,20-Apr,Okada Stud,"70,000",,,,Bradshaw Randy
746,,B,F,3/20/2021,Frosted,No Lip Service,Bodemeister,Bodemeister,"Really and Truly Thoroughbreds, Agent IV",KY,C,10.0,75,20-Apr,"55,000",Not Sold,,,,Really and Truly Thoroughbreds
747,,GR/RO,F,2/8/2021,Kantharos,No More Misery,Midnight Lute,MidnightLute,"Pick View LLC, Agent XVI",KY,G,10.1,110,20-Apr,"DARRS, Inc., James Bredin, Agent","50,000",,,,Pick View LLC
748,,DB/BR,F,4/12/2021,Upstart,No Panic,Henrythenavigator,Henrythenavigator,"Omar Ramirez Bloodstock, Agent I",KY,15,out,,20-Apr,Withdrawn,Out,,out,4/19/2023,Ramirez Omar
749,,B,C,4/22/2021,Laoban,No Peeping,Morning Line,MorningLine,"Cortez Racing & Sales, Agent II",CA,20,10.0,33,20-Apr,Bar V Bar Racing,"26,000",PS,,,Cortez Racing & Sales
750,,B,C,4/12/2021,Tale of Ekati,Not Flawed,Not Bourbon,NotBourbon,Grassroots Training & Sales LLC,KY,J,10.2,31,20-Apr,"37,000",Not Sold,,,,Grassroots Training & Sales LLC
751,,DB/BR,C,4/8/2021,Mo Town,No Vacancy,Quality Road,QualityRoad,"Tom McCrocklin, Agent XXIV",KY,2,out,,20-Apr,Withdrawn,Out,,out,4/13/2023,McCrocklin Tom
752,,B,F,2/13/2021,Maximus Mischief,Nutmeg,Lemon Drop Kid,LemonDropKid,"Two Oaks Equine, Agent",KY,E,10.1,130,20-Apr,"The Unstable LLC, Gayle Van Leer, Agent","30,000",,,,Two Oaks Equine
753,,GR/RO,F,5/8/2021,Macho Uno,Oasis At Midnight,Midnight Lute,MidnightLute,"Coastal Equine LLC (Jesse Hoppel), Agent",FL,A,21.3,106,20-Apr,"Chad Schumer, Agent","95,000",,,,Coastal Equine LLC
754,,B,C,4/4/2021,Classic Empire,Off My Stage,More Than Ready,MoreThanReady,"Oak Creek Thoroughbreds, Agent I",KY,16,10.1,10,20-Apr,"Frank Alosa, Agent for Red Lane Thoroughbreds LLC","130,000",,,,Oak Creek Thoroughbreds
755,,DB/BR,F,4/3/2021,Mr Speaker,Off the Road (BRZ),Quick Road (BRZ),QuickRoadBRZ,"Gene Recio, Agent X",KY,17,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Recio Gene
756,You Sez,DB/BR,C,3/24/2021,Practical Joke,Oh Flo,Uncle Mo,UncleMo,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",KY,5,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,Hartley / DeRenzo Thoroughbreds LLC
757,,DB/BR,C,2/10/2021,Blame,Oleanda Avenue,A.P. Indy,APIndy,Grassroots Training & Sales LLC,KY,J,out,128,20-Apr,Withdrawn,Out,,out,4/27/2023,Grassroots Training & Sales LLC
758,,B,C,3/21/2021,Catalina Cruiser,One Show Only,Distorted Humor,DistortedHumor,"Julie Davies LLC, Agent XI",KY,19,out,109,20-Apr,Withdrawn,Out,,out,4/27/2023,Davies Julie
759,,B,C,3/9/2021,Classic Empire,On Reflection,Malibu Moon,MalibuMoon,"Eddie Woods, Agent XL",KY,11,10.2,74,20-Apr,C.H.P.R.,"30,000",,,,Woods Eddie
760,,B,F,5/1/2021,Lord Nelson,On the Beach,Any Given Saturday,AnyGivenSaturday,RiceHorse Stable (Brandon & Ali Rice),KY,6,10.1,71,20-Apr,Todd Mostoller,"87,000",,,,RiceHorse
761,,B,C,4/6/2021,Omaha Beach,Orrery,Smart Strike,SmartStrike,"Wavertree Stables, Inc. (Ciaran Dunne), Agent V",KY,5,out,,20-Apr,Withdrawn,Out,,out,4/20/2023,"Wavertree Stables, Inc."
